type,X1,X216,X269,X709,X1001,X1997,X2509,X2711,X2906,X3270,X3430,X4829,X4994,X5347,X5523,X6421,X6513,X6794,X7126,X7157,X7342,X7365,X8699,X8987,X9022,X9560,X9688,X10131,X10437,X11029,X11327,X11925,X13095,X13353,X14289,X14348,X15455,X16156,X16274,X16331,X16349,X16885,X17282,X17316,X17445,X17752,X17794,X18063,X18158,X19664,X20462,X21200,X21487,X22251,X23239,X23932,X24014,X25205,X25206,X25804,X25867,X25933,X26039,X26287,X26615,X26747,X27015,X27121,X27250,X28252,X28544,X28688,X29617,X30321,X30663,X31416,X31695,X31704,X33031,X33110,X33614,X33759,X34236,X34482,X34594,X34988,X36051,X36093,X36210,X36527,X36750,X36904,X37119,X37161,X37279,X37614,X38229,X38382,X38733,X39011,X39033,X39743,X40316,X40395,X41885,X42555,X43479,X44844,X46640,X46946,X47591,X48368,X48462,X48605,X49178,X50448,X50551,X51155,X51280,X52384,X52897,X53495,X53596,X54604,X55033,X55191,X55249,X55561,X56359,X56693,X56717,X57156,X57157,X57170,X57194,X57754,X57771,X57961,X58394,X58599,X58699,X58936,X59011,X59393,X59504,X59505,X59832,X59964,X61629,X61641
1,0,0,18,36,27,0,0,20,0,0,0,0,19,23,0,0,15,14,0,0,0,0,0,0,18,14,0,0,0,0,0,20,0,0,12,11,0,25,0,0,0,0,0,0,0,0,10,0,0,35,0,0,18,0,0,11,18,0,0,0,0,0,0,0,19,17,12,0,0,0,0,10,12,0,0,18,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0,18,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,10,0,18,15,0,0,11,0,0,16,0,0,26,10,0,0,0,0,22,12,0,0,18,0,10,0,0,0,0,0,0,11,0,0
0,0,0,11,0,10,0,0,11,0,0,20,0,11,10,0,0,0,0,0,0,0,11,0,0,14,0,0,19,0,11,0,0,0,0,0,0,0,39,0,0,0,0,17,0,0,0,23,13,18,19,0,0,20,25,11,15,0,26,0,16,19,0,11,22,12,14,24,0,11,11,0,21,0,12,0,26,0,0,0,0,0,19,0,0,0,0,0,0,12,0,0,0,0,17,10,0,0,0,19,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,39,24,19,0,15,0,0,0,16,0,0,13,0,0,0,0,0,70,27,0,12,0,0,17,18,0,0,0,0,24,0,16,18,0,0
0,0,0,0,0,32,0,0,0,0,11,14,17,17,14,0,0,23,0,0,0,13,0,56,0,0,0,11,0,0,0,0,15,0,0,0,35,17,40,0,13,0,0,16,0,0,20,17,0,11,10,0,14,20,29,0,0,0,0,0,10,0,10,0,18,10,0,0,0,0,12,0,17,0,11,22,12,0,0,0,23,34,11,0,0,0,0,31,0,15,0,10,0,0,20,23,0,10,0,31,0,16,0,0,13,11,33,0,0,0,11,0,0,23,0,0,22,17,0,11,33,27,0,0,30,10,0,0,0,16,0,0,0,49,0,16,10,0,0,21,0,15,0,0,0,0,0,20,22,0,0
2,0,0,22,0,0,0,14,20,0,0,0,0,0,10,16,0,48,0,0,0,0,0,15,0,0,0,0,0,0,25,0,0,0,0,0,15,0,42,11,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,11,0,0,0,0,0,14,0,0,0,0,0,10,0,0,0,17,0,0,0,0,0,0,39,0,18,0,15,0,17,0,0,0,17,0,16,0,19,0,15,10,22,0,17,0,13,0,0,0,0,0,0,44,0,0,0,0,0,16,0,27,0,0,0,0,0,0,0,0,0,0,0,19,0,10,0,0,11,0,0,11,0,0,23,0,0,12
0,0,0,0,0,0,0,0,0,0,0,18,0,0,10,14,0,11,20,0,0,0,0,0,0,15,0,0,17,0,0,0,14,17,37,17,0,0,12,0,19,0,0,0,0,0,0,15,0,0,0,0,14,20,0,15,16,40,0,0,0,0,14,0,10,24,0,0,13,11,0,0,15,18,16,13,11,0,0,0,0,39,0,0,38,0,0,0,13,0,16,0,47,0,20,27,0,0,0,0,0,0,0,0,13,22,22,0,13,0,0,0,10,15,0,0,0,15,0,0,10,0,0,0,0,0,16,0,0,0,0,0,0,32,0,0,18,0,0,18,17,12,0,11,0,0,0,0,19,0,0
0,0,0,0,0,0,0,0,0,0,117,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,15,0,43,0,17,0,20,108,0,0,0,0,20,0,17,0,67,11,0,0,0,0,41,35,0,0,0,0,0,20,0,17,0,0,20,0,25,0,0,17,0,0,83,0,0,0,0,0,14,68,0,0,0,0,0,0,0,15,183,0,0,12,0,0,193,0,0,0,11,0,0,11,0,29,0,11,0,92,0,26,0,0,0,0,17,0,0,14,140,33,0,0,17,0,0,11,22,56,0,0,12,0,12,0,0,0,0,12,0,21,0,0,0,0,0,12,0,0
0,0,0,0,0,0,0,0,0,0,65,0,0,18,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,24,45,0,29,0,0,0,0,57,0,0,14,21,44,0,0,10,35,0,0,13,0,19,33,19,0,0,0,11,0,27,0,14,0,0,0,0,11,0,27,0,0,30,0,12,0,11,0,0,31,35,0,0,0,0,0,17,0,44,0,0,0,15,10,0,0,0,0,0,0,0,0,0,11,0,0,14,0,0,0,0,29,0,0,0,0,0,0,0,0,16,0,0,0,0,10,14,13,48,0,0,0,0,10,0,0,49,0,0,0,43,28,0,0,0,0,15,0,0
2,0,77,45,0,0,0,0,43,0,0,13,0,12,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,71,14,0,0,34,0,37,0,0,0,0,0,0,0,0,0,32,0,14,0,18,0,0,0,0,0,0,23,0,0,0,0,0,33,0,19,0,0,36,0,10,0,0,15,0,26,0,0,0,0,0,10,0,19,0,0,0,0,0,17,0,33,0,0,22,31,0,0,0,0,0,0,0,0,0,0,37,0,22,0,0,0,0,30,0,0,0,0,15,0,12,21,0,0,0,0,10,0,0,0,16,0,0,0,12,0,0,10,62,0,0,10,21,32,50,0,0,0,0,32,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,34,0,0,0,0,16,0,0,0,76,0,0,0,0,0,16,77,0,255,0,0,0,19,0,0,0,0,19,0,47,0,0,0,0,0,156,0,0,0,60,0,0,75,0,0,13,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,14,0,0,0,0,0,39,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,255,16,11,0,0,0,0,10,16,0,0,0,42,0,0,0,0
0,0,0,0,0,0,0,10,0,0,0,11,0,0,0,0,0,0,0,12,0,0,0,10,0,13,0,0,12,12,0,10,0,12,50,17,17,0,15,0,0,0,0,0,20,0,0,10,0,0,0,0,0,16,10,0,10,0,0,0,0,0,0,15,23,0,0,0,0,0,16,29,0,0,10,0,0,0,0,0,0,0,0,78,0,0,0,0,0,18,12,0,65,0,0,13,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,12,0,13,0,0,24,0,0,0,19,0,0,0,14,0,0,0,0,0,0,0,0,0,0,12,0,0,0,10,12,0,0,0,0,14,0,13,12,0,0
1,0,0,10,0,0,0,35,10,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,20,0,0,0,0,11,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,11,0,0,12,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,12,0,0,0,20,0,0,0,0,0
